uid,animal_present,max_confidence
00c9f91af47c9cd93fc548b8,1,0.728265
00fbae3617c95d8e7f5cac99,1,0.418519
015b4837afa0a770b0bd9c73,1,0.254046
01ad4338291464720f7c24fc,1,0.874292
01adfcde4c1fdfa205c5c3b1,1,0.791015
01fd49e267b20a980c01e033,1,0.519674
02195f0678501ea0e56ce887,1,0.587529
024c5582667401a5772859c8,1,0.853669
0260638b5b32ef69be2b6dcb,1,0.875787
02a32101b3092586a4333a7d,1,0.680348
02b43c89723cbafd2a36f1c0,1,0.797872
03b0c5fbf0d7ed5e41ba05c4,1,0.395951
03cb2fadb2020758e8d2f7fd,1,0.858481
03d5dcd6e2ae3232da1a2452,1,0.877477
0446a090fef2200d75964259,1,0.739799
04587cb3cb9ddd979945e037,1,0.80038
05287566ecb2f796000fed29,1,0.561756
056b3a412b13db26081fc68b,1,0.739422
0580d4be36ac3aa5fb8e5f0c,1,0.362743
05d958175a5bf64e3d2ea649,1,0.6705
06890b136167aeac2becc74a,1,0.638046
06d74a74ed651baa4fd37c67,1,0.812867
0758cf9fd7d445b1f914ecb5,1,0.250913
075a83ff581ada03ba4c2ac7,1,0.766818
084ccddf429b4b84dda99ce5,1,0.486187
085e9eee24e4cabe6d1723bf,1,0.307358
089d3c473c3b6307acd89c99,1,0.289472
08c5eaae305444294911d6c0,1,0.693369
097a4d4a2b7c37ef75e630f0,0,0
09ab9ffacbf80cb9280f4608,1,0.825871
0a7544bc0bedffcbca1037bd,1,0.264358
0b4205743e291e413b070731,1,0.621254
0b455f240ceb38ce0b349fc7,1,0.311636
0b8e35bfab1124bd9bb340c9,1,0.890103
0bbc9302f8e34d73b5a9eac7,1,0.844409
0be43d8d5e519795660447d3,1,0.812421
0bea126d2d0f22a458419535,1,0.726037
0bfad5bdcb5d792d9924ee7e,1,0.827828
0c6ed45010a4217b34a55ea1,1,0.714429
0c90f5abd83e3e219bf612c4,1,0.497219
0cdaf4b6573b2191dadea086,0,0
0d060b6c66282fd5e912cddd,0,0
0d2669e374eaaa692a975147,1,0.847968
0e32a2cd2196b835cc3a452a,1,0.886224
0e3380f1dfb3692074783577,1,0.489542
0e5ee0a88415399d9f424ae9,1,0.58059
0eae6a5775d6046b9080c02d,1,0.884838
0eb309f135d491d453b1a774,1,0.302494
0f4d5d7db8b6887ea8f9ce01,0,0
0f5771fadb2f0e898f454211,1,0.323808
10375bfb40ae88003ba03525,1,0.867036
10dab743fd46ede32b504b77,1,0.707506
10f542d76090ecbf61d6a130,1,0.902781
112010f6fe7c731ae4b62136,1,0.292797
112c60b32b77a26693b92bd7,1,0.250363
113063ba2e63d96a7498b56a,1,0.725649
116e8cc1bfd1794ef205ad88,1,0.738103
11aae2b1c81ec1896b0cbb99,0,0
11b7271b4a97739df8197793,1,0.370909
1295acefcfe0290f408aecd2,1,0.910227
12d765c56c20136530282405,1,0.657758
12decc5fa6953e61bf934d02,1,0.84039
13099adf489ec8bd1c515203,1,0.891811
130e9bc740d35fafb59a8fea,1,0.665193
132bb141e93c49aefde72876,0,0
133f95dcdc5c1e31ea697ef8,1,0.395951
138cc0f1ca9444e2ff3079f1,1,0.422028
13be9d12163622ac907d0bac,1,0.34621
14012638aab1b036b65b488f,1,0.283285
141fda7bfbbdac65b0ab5e2b,0,0
143b3cdd1c0809ef1ad44570,1,0.861538
1446f2d2ba79066dfb6fff58,1,0.453201
1472f42fe56d8fcc041e8a53,1,0.745028
148c8e516e99b9aa743bf826,1,0.847211
1496c958f5b7aa47ef323562,1,0.859899
14ba530282f2e8b76c7df747,1,0.825167
15659a98ed7d64779be56769,1,0.313105
15a04c51101ccb7e7f1aaa1b,1,0.775265
15aa5faf5fcaec177482e25b,1,0.798501
15f756dbd21743d77bb9356c,1,0.877056
163ff4b92901f02085e3969d,1,0.434641
169bbe532b791208f69ab54b,1,0.257765
16cfb9a278fde63cf194103f,1,0.845049
170155af5994174c8f83bbc6,1,0.855006
17d2ba2ae9d3cbf651ef13f8,1,0.90053
1814d86d078297037d449614,1,0.801315
1830677c4abf0611dd6944aa,0,0
19326bfbc43e6b97993a52ed,1,0.71113
19d2371de38ffbac7e7ad968,1,0.686475
1a257c027a2c7136b3183ba0,1,0.512372
1a6eaf2d8086186e3bab79a8,1,0.685318
1aa5687d24cc439a33ab2029,1,0.865338
1adf6cc237b15057341f5d4a,1,0.741487
1aeb5850a8b8b1a165e087b8,1,0.85741
1aecf57060a9e08d17b6332d,1,0.892563
1b0a55aa26cddbc2ab5d9dd4,1,0.613642
1b19f0716fd12c5f4baa404b,1,0.566738
1b3506cd5e3983f10f1b1115,1,0.851953
1b674e29bd7529c74a589167,1,0.796925
1b73ae1ff3ade266b5112ae4,1,0.582313
1b91b886094345d3b11ca7d2,1,0.339718
1bda96ff58dd9531daf163fa,0,0
1c5204a2516208fc5fa8856d,0,0
1c94853be564f869c26a338e,1,0.427815
1c9933be7f46f9f27184d7bf,1,0.769427
1ccd44e041bd29f7b0583a8a,1,0.862583
1d0cab043e56ec24c948faa1,0,0
1d16a24c363ec1c777ecc1e5,1,0.746509
1d9c1ecec3aeb445e864aca7,1,0.821044
1dd281ff6d5b2b84877b7078,1,0.891622
1e96fde8001e74bd40a28c86,1,0.887984
1ef552ab5fdc21d11758d3d3,1,0.659076
1f159274c4d5bad3ca678159,1,0.509703
1f1f397cc5c5cae47660a48e,1,0.859899
1f5379f01fb9f32c9c9139f8,1,0.792304
1fa497402504f63d24107e32,1,0.817866
1fa7ce158f85910d8d460258,1,0.833731
2095f6d05bbdfe57f860368e,0,0
20c0a9852a52d94d4802c8a0,1,0.749271
21d959f5852995794b44371b,1,0.897336
21e8589fc1cc90cae155662a,0,0
22e0cf0a9827f01def1502b0,1,0.796292
2302de0bd18cbe15598be000,1,0.847337
23242e70ee1847f7cddd9843,1,0.898767
232f1c6353a38ee76c785a1d,1,0.829077
2387c40919bf248e44b340bf,1,0.864196
239a6a4e8067f4df3ad9f845,1,0.861887
23ea02649841261efce8b072,1,0.31542
245e6800bf8d1472ed70bd8b,1,0.853058
24652d81251031c691692f93,1,0.473125
24c2cd4f8f9196b0afe770a8,1,0.616936
2523e14643958904259462ac,0,0
25330d05714e6f6f1a12163b,1,0.572723
25827e48917f79dc98ab72cc,1,0.880077
25b47b1cd2628e135fb78c47,1,0.834946
25b4d792b3c15e98acc8419e,1,0.711431
25f2d14ef784189b968f12b1,1,0.803482
25fc0b76c0ac54bd2ba25d3f,0,0
2605dfe3a30ed59518072a3d,1,0.853547
2672d54ea5017deb6306ca37,1,0.725551
2704a9fc5116ed8860ac056a,1,0.706089
270519ab1cd15fb20e895f82,1,0.823754
27397fd947cbfe8784e7f1e9,1,0.329931
273b4dcd74dbb7944a52694a,1,0.874614
2776dfccea1bf3f88ac3d2ee,1,0.631367
27f83243653393d7e603586a,0,0
27f8dd744533ddf6f8a189ba,0,0
280f990e47d37c7bf97d2abe,1,0.859546
281c02ca451f9fed47dee36a,1,0.314471
285086a012fd9d95d779b231,1,0.309024
28b9a53544c727f2c88d735a,1,0.53525
2959f9b5a3a02e0d7bf600ce,1,0.838018
29a885f901cd338896261cff,1,0.881819
