class,wilds_id,p
0,0,0.108878
1,1,0.001275
2,2,0.014897
3,4,0.019957
4,6,0.020025
5,8,0.004016
6,9,0.108879
7,12,0.003316
8,15,0.008764
9,17,0.008840
10,20,0.000390
11,23,0.039459
12,24,0.015089
13,25,0.021418
14,28,0.004702
15,32,0.004398
16,33,0.003409
17,36,0.070935
18,39,0.058459
19,41,0.004305
20,42,0.005528
21,43,0.010305
22,47,0.030534
23,48,0.005889
24,49,0.020562
25,52,0.029482
26,65,0.008923
27,68,0.003631
28,69,0.001349
29,70,0.033649
30,72,0.012790
31,87,0.002126
32,89,0.024131
33,90,0.000155
34,93,0.006605
35,95,0.039499
36,96,0.003554
37,112,0.004359
38,113,0.004352
39,114,0.072256
40,115,0.026101
41,116,0.003512
42,117,0.004518
43,120,0.003492
44,127,0.005205
45,145,0.002848
46,146,0.017705
47,147,0.006466
48,148,0.038472
49,149,0.001325
50,151,0.006572
51,152,0.011158
52,153,0.010641
53,155,0.004220
54,172,0.007190
55,173,0.003368
56,177,0.006117
